City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,bredasdorp,89,ZA,1561852864,81,-34.53,20.04,50.0,1.12
1,mehamn,22,NO,1561852869,92,71.03,27.85,38.73,22.62
2,rikitea,100,PF,1561852872,68,-23.12,-134.97,70.47,12.48
3,atar,22,MR,1561852872,14,20.52,-13.05,94.03,14.47
4,mar del plata,23,AR,1561852596,60,-46.43,-67.52,31.93,13.91
5,ushuaia,75,AR,1561852873,86,-54.81,-68.31,33.8,13.87
6,east london,4,ZA,1561852873,28,-33.02,27.91,58.89,4.68
7,thompson,90,CA,1561852874,59,55.74,-97.86,66.2,8.05
8,albany,1,US,1561852874,78,42.65,-73.75,81.0,8.05
9,hamilton,75,CA,1561852589,57,43.26,-79.87,84.2,17.22
10,katherine,93,AU,1561852874,56,-14.47,132.26,73.4,8.05
11,port alfred,0,ZA,1561852874,84,-33.59,26.89,55.0,1.99
12,leningradskiy,99,RU,1561852875,67,69.38,178.42,46.51,6.8
13,hermanus,100,ZA,1561852875,71,-34.42,19.24,55.99,8.99
14,boyuibe,5,BO,1561852875,88,-20.43,-63.28,71.6,1.52
15,hamza,99,UZ,1561852875,44,40.42,71.51,77.0,4.7
16,saint george,20,GR,1561852877,64,39.45,22.34,72.0,1.36
17,jamestown,17,AU,1561852598,89,-33.21,138.6,45.59,10.4
18,longyearbyen,75,NO,1561852878,69,78.22,15.63,39.2,20.8
19,vaini,96,IN,1561852879,92,15.34,74.49,75.45,1.88
20,pierre,1,US,1561852854,41,44.37,-100.35,98.01,9.17
21,severo-kurilsk,0,RU,1561852677,91,50.68,156.12,43.02,5.28
22,mataura,98,NZ,1561852879,76,-46.19,168.86,51.01,4.52
23,riyadh,0,SA,1561852882,10,24.63,46.72,89.6,4.25
24,qaanaaq,0,GL,1561852714,47,77.48,-69.36,50.34,1.59
25,russell,1,US,1561852882,24,38.9,-98.86,100.4,17.22
26,yellowknife,75,CA,1561852713,33,62.45,-114.38,71.6,5.82
27,kavieng,68,PG,1561852883,71,-2.57,150.8,83.5,4.03
28,hobart,75,AU,1561852844,57,-42.88,147.33,51.8,17.22
29,kochevo,2,BG,1561852884,72,42.1,24.92,62.6,3.36
